NOC 2016  Version 1.3 Code,NOC 2016  Version 1.3 Title,Partial,SOC 2018 (US) Code,SOC 2018 (US) Title,Explanatory Notes
2262,Engineering inspectors and regulatory officers,*,47-4011,Construction and Building Inspectors,Only inspectors of elevators and escalators
2262,Engineering inspectors and regulatory officers,*,53-6051,Transportation Inspectors,"Only inspectors and regulatory officers in transportation, including transportation systems, equipment, and vehicles"
2263,Inspectors in public and environmental health and occupational health and safety,*,19-5011,Occupational Health and Safety Specialists,Only inspectors and specialists in public and environmental health and occupational health and safety
2263,Inspectors in public and environmental health and occupational health and safety,*,19-5012,Occupational Health and Safety Technicians,"Only officers, technicians and related workers assisting inspectors, supervisors, consultants in occupational health and safety "
2264,Construction inspectors,,47-4011,Construction and Building Inspectors,
2271,"Air pilots, flight engineers and flying instructors",*,53-2011,"Airline Pilots, Copilots, and Flight Engineers"," Only airline pilots, co-pilots and flight engineers for scheduled air carrier routes "
2271,"Air pilots, flight engineers and flying instructors",*,53-2012,Commercial Pilots,"Only commercial pilots, not operating on scheduled air carrier routes"
2272,Air traffic controllers and related occupations,*,53-2021,Air Traffic Controllers,Only air traffic controllers
2272,Air traffic controllers and related occupations,*,53-2022,Airfield Operations Specialists,Only airfield operations specialists
2273,"Deck officers, water transport",,53-5021,"Captains, Mates, and Pilots of Water Vessels",
2274,"Engineer officers, water transport",,53-5031,Ship Engineers,
2275,Railway traffic controllers and marine traffic regulators,,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",
2281,Computer network technicians,*,15-1231,Computer Network Support Specialists,Only computer network support specialists
2281,Computer network technicians,*,15-1244,Network and Computer Systems Administrators,Only administrators and analysts of networks 
2281,Computer network technicians,*,15-1299,"Computer Occupations, All Other",Only data centre operators 
2282,User support technicians,,15-1232,Computer User Support Specialists,
2283,Information systems testing technicians,,15-1253,Software Quality Assurance Analysts and Testers,
3011,Nursing co-ordinators and supervisors,,29-1141,Registered Nurses,
3012,Registered nurses and registered psychiatric nurses,,29-1141,Registered Nurses,
3111,Specialist physicians,*,19-1022,Microbiologists,Only specialist physicians in medical microbiology
3111,Specialist physicians,*,19-1041,Epidemiologists,Only specialist physicians in epidemiology and community medicine
3111,Specialist physicians,*,19-1042,"Medical Scientists, Except Epidemiologists","Only specialist physicians engaged in clinical investigation, research and development of treatments for human diseases"
3111,Specialist physicians,*,19-1099,"Life Scientists, All Other","Only specialist physicians engaged in investigation, research and development of treatments for human diseases not elsewhere classified "
3111,Specialist physicians,*,29-1211,Anesthesiologists,Only specialist physicians in anesthesiology
3111,Specialist physicians,*,29-1212,Cardiologists,Only specialist physicians in cardiology
3111,Specialist physicians,*,29-1213,Dermatologists,Only specialist physicians in dermatology
3111,Specialist physicians,*,29-1214,Emergency Medicine Physicians,Only specialist physicians in emergency medicine
3111,Specialist physicians,*,29-1216,General Internal Medicine Physicians,Only specialist physicians in internal medicine
3111,Specialist physicians,*,29-1217,Neurologists,Only specialist physicians in neurology
3111,Specialist physicians,*,29-1218,Obstetricians and Gynecologists,Only specialist physicians in obstetrics and gynecology
3111,Specialist physicians,*,29-1221,"Pediatricians, General",Only specialist physicians in pediatrics
3111,Specialist physicians,*,29-1222,"Physicians, Pathologists",Only specialist physicians in pathology
3111,Specialist physicians,*,29-1223,Psychiatrists,Only specialist physicians in psychiatry 
3111,Specialist physicians,*,29-1224,Radiologists,Only specialist physicians in radiology
3111,Specialist physicians,*,29-1229,"Physicians, All Other",Only specialist physicians not accounted for in other relationships between this NOC code and SOC
3111,Specialist physicians,*,29-1241,"Ophthalmologists, Except Pediatric","Only specialist physicians in ophthalmology, except pediatric surgeons "
3111,Specialist physicians,*,29-1242,"Orthopedic Surgeons, Except Pediatric","Only specialist physicians in orthopaedics surgery, except pediatric surgeons"
3111,Specialist physicians,*,29-1243,Pediatric Surgeons,Only specialist physicians in pediatric surgery 
3111,Specialist physicians,*,29-1249,"Surgeons, All Other",Only surgeons not accounted for in other relationships between this NOC code and SOC
3112,General practitioners and family physicians,,29-1215,Family Medicine Physicians,
3113,Dentists,*,29-1021,"Dentists, General",Only dentists in general practice
3113,Dentists,*,29-1022,Oral and Maxillofacial Surgeons,Only dentists specializing in oral and maxillofacial surgery
3113,Dentists,*,29-1023,Orthodontists,Only dentists specializing in orthodontics
3113,Dentists,*,29-1024,Prosthodontists,Only dentists specializing in prosthodontics
3113,Dentists,*,29-1029,"Dentists, All Other Specialists",Only dentists not accounted for in other relationships between this NOC code and SOC
3114,Veterinarians,*,19-1041,Epidemiologists,Only veterinarians specializing in veterinary epidemiology
3114,Veterinarians,*,29-1131,Veterinarians,Excluding veterinarians specializing in veterinary epidemiology
3121,Optometrists,,29-1041,Optometrists,
3122,Chiropractors,,29-1011,Chiropractors,
3124,Allied primary health practitioners,*,29-1071,Physician Assistants,Only physician assistants
3124,Allied primary health practitioners,*,29-1151,Nurse Anesthetists,Only nurse practitioners specializing in anesthesia
3124,Allied primary health practitioners,*,29-1161,Nurse Midwives,Only allied primary health practitioners specializing in mid-wifery
3124,Allied primary health practitioners,*,29-1171,Nurse Practitioners,"Only nurse practitioners, excluding those specializing in anesthesia"
3125,Other professional occupations in health diagnosing and treating,*,29-1081,Podiatrists,"Only professionals in health diagnosing and treating specializing in podiatric medicine, including foot specialists and chiropodists"
3125,Other professional occupations in health diagnosing and treating,*,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",Only other professional occupations in health diagnosing and treating not accounted for in other relationships between this NOC code and SOC
3131,Pharmacists,*,19-1042,"Medical Scientists, Except Epidemiologists","Only pharmacists primarily in clinical investigation and research and development, including industrial pharmacists"
3131,Pharmacists,*,29-1051,Pharmacists,"Excluding pharmacists primarily in clinical investigation and research and development, also excluding industrial pharmacists"
3132,Dietitians and nutritionists,,29-1031,Dietitians and Nutritionists,
3141,Audiologists and speech-language pathologists,*,29-1127,Speech-Language Pathologists,Only speech-language pathologists and similar occupations
3141,Audiologists and speech-language pathologists,*,29-1181,Audiologists,Only audiologists
3142,Physiotherapists,,29-1123,Physical Therapists,
3143,Occupational therapists,,29-1122,Occupational Therapists,
3144,Other professional occupations in therapy and assessment,*,29-1125,Recreational Therapists,Only professionals in therapy and assessment specializing in recreation based therapies 
3144,Other professional occupations in therapy and assessment,*,29-1128,Exercise Physiologists,"Only professionals in therapy and assessment specializing in exercise physiology therapies, including kinesiology and bio kinetics"
3144,Other professional occupations in therapy and assessment,*,29-1129,"Therapists, All Other","Excluding professionals in therapy and assessment specializing in recreation based therapies and physiology therapies, and trainers in athletic therapy "
3144,Other professional occupations in therapy and assessment,*,29-9091,Athletic Trainers,Only trainers in athletic therapy 
3211,Medical laboratory technologists,,29-2011,Medical and Clinical Laboratory Technologists,
3212,Medical laboratory technicians and pathologists' assistants,*,29-2012,Medical and Clinical Laboratory Technicians,Excluding phlebotomists and other medical laboratory technicians who draw blood from patients 
3212,Medical laboratory technicians and pathologists' assistants,*,31-9097,Phlebotomists,Only phlebotomists and other medical laboratory technicians who draw blood from patients 
3213,Animal health technologists and veterinary technicians,*,29-2056,Veterinary Technologists and Technicians,Only technologists and technicians
3213,Animal health technologists and veterinary technicians,*,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,"Only veterinary assistants and animal caretakers, including animal health "
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",*,29-1126,Respiratory Therapists,Only respiratory therapists
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",*,29-2031,Cardiovascular Technologists and Technicians,Only technicians and technologists in pulmonary and cardiopulmonary and clinic perfusion
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",*,29-2099,"Health Technologists and Technicians, All Other",Only technicians and technologists specializing in polysomnograms
3215,Medical radiation technologists,*,29-1124,Radiation Therapists,Only radiation therapists
3215,Medical radiation technologists,*,29-2033,Nuclear Medicine Technologists,Only medical technologists in nuclear medicine
3215,Medical radiation technologists,*,29-2034,Radiologic Technologists and Technicians,Only medical technologists in radiology
3215,Medical radiation technologists,*,29-2035,Magnetic Resonance Imaging Technologists,Only medical technologists in magnetic resonance imaging (MRI)
3215,Medical radiation technologists,*,29-2036,Medical Dosimetrists,Only radiological technologists specializing in dosimetry
3216,Medical sonographers,,29-2032,Diagnostic Medical Sonographers,
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",*,29-2031,Cardiovascular Technologists and Technicians,Only cardiology technologists and technicians
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",*,29-2099,"Health Technologists and Technicians, All Other",Only technologists and technicians specializing in electroencephalographs (EEG) and electroneurodiagnostics
3219,Other medical technologists and technicians (except dental health),*,29-2051,Dietetic Technicians,Only medical technologists and technicians in dietary and food nutrition
3219,Other medical technologists and technicians (except dental health),*,29-2052,Pharmacy Technicians,Only medical technologists and technicians in pharmacy
3219,Other medical technologists and technicians (except dental health),*,29-2053,Psychiatric Technicians,Only psychiatric technician
3219,Other medical technologists and technicians (except dental health),*,29-2091,Orthotists and Prosthetists,Only medical technologists in prosthetics and orthotics 
3219,Other medical technologists and technicians (except dental health),*,29-2099,"Health Technologists and Technicians, All Other",Only health technologist and technicians not accounted for in other relationships between this NOC code and SOC
3219,Other medical technologists and technicians (except dental health),*,51-9082,Medical Appliance Technicians,Only medical technicians in medical supportive devices and other medical appliances 
3221,Denturists,,51-9081,Dental Laboratory Technicians,
3222,Dental hygienists and dental therapists,,29-1292,Dental Hygienists,
3223,"Dental technologists, technicians and laboratory assistants",,51-9081,Dental Laboratory Technicians,
3231,Opticians,,29-2081,"Opticians, Dispensing",
3232,Practitioners of natural healing,*,29-1291,Acupuncturists,Only practitioners of natural healing specializing in acupuncture
3232,Practitioners of natural healing,*,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",Only practitioners of natural healing not accounted for in other relationships between this NOC code and SOC
3232,Practitioners of natural healing,*,29-9099,"Healthcare Practitioners and Technical Workers, All Other",Only practitioners of natural healing specializing in traditional Chinese herbology and medicine
3232,Practitioners of natural healing,*,31-9011,Massage Therapists,Only practitioners of Rolfing 
3233,Licensed practical nurses,*,29-2055,Surgical Technologists,Only surgical and operating room nursing assistants and technicians 
3233,Licensed practical nurses,*,29-2061,Licensed Practical and Licensed Vocational Nurses,Only licensed practical and vocational nurses
3234,Paramedical occupations,*,29-2042,Emergency Medical Technicians,Only emergency medical technicians and related paramedical occupations providing basic emergency medical care 
3234,Paramedical occupations,*,29-2043,Paramedics,Only paramedics providing advanced emergency medical care and life support
3234,Paramedical occupations,*,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Only ambulance drivers and driver attendants 
3236,Massage therapists,,31-9011,Massage Therapists,
3237,Other technical occupations in therapy and assessment,*,29-2057,Ophthalmic Medical Technicians,"Only technicians, technologists, assistants and aids in ophthalmology "
3237,Other technical occupations in therapy and assessment,*,29-2092,Hearing Aid Specialists,"Only technical occupations in therapy and assessments in audiology and audiometrics, including hearing aids and instruments "
3237,Other technical occupations in therapy and assessment,*,31-2011,Occupational Therapy Assistants,Only occupational therapy assistants 
3237,Other technical occupations in therapy and assessment,*,31-2021,Physical Therapist Assistants,"Only assistants, technicians in physiotherapy, physical rehabilitation and physical therapy, including kinesitherapist "
3237,Other technical occupations in therapy and assessment,*,31-2022,Physical Therapist Aides,"Only aids in physiotherapy, physical rehabilitation and physical therapy"
3411,Dental assistants,,31-9091,Dental Assistants,
3413,"Nurse aides, orderlies and patient service associates",*,31-1122,Personal Care Aides,"Only aides, attendants and associates providing basic patient care and services "
3413,"Nurse aides, orderlies and patient service associates",*,31-1131,Nursing Assistants,"Only aides, attendants and associates providing and nursing assistance "
3413,"Nurse aides, orderlies and patient service associates",*,31-1132,Orderlies,Only orderlies and porters 
3413,"Nurse aides, orderlies and patient service associates",*,31-1133,Psychiatric Aides,"Only psychiatric aides, orderlies, attendants and associates "
3414,Other assisting occupations in support of health services,*,29-1071,Physician Assistants,Only physician assistants and technicians in orthopedics
3414,Other assisting occupations in support of health services,*,29-2055,Surgical Technologists,Only technicians in surgery - non-nursing 
3414,Other assisting occupations in support of health services,*,29-9093,Surgical Assistants,Only assistants and technicians in surgery - non-nursing 
3414,Other assisting occupations in support of health services,*,31-2012,Occupational Therapy Aides,Only aides and helpers in occupational and related therapy
3414,Other assisting occupations in support of health services,*,31-9092,Medical Assistants,"Only assistants, aides, technicians, workers and helpers providing assistance and clinical support to health care professionals "
3414,Other assisting occupations in support of health services,*,31-9093,Medical Equipment Preparers,"Only preparers, assistants, sterilizers of medical equipment "
3414,Other assisting occupations in support of health services,*,31-9095,Pharmacy Aides,Only aides in pharmacy
3414,Other assisting occupations in support of health services,*,31-9099,"Healthcare Support Workers, All Other",Only healthcare workers not accounted for in other relationships between this NOC code and SOC
3414,Other assisting occupations in support of health services,*,51-9083,Ophthalmic Laboratory Technicians,"Only workers, technicians and assistants in optical and ophthalmics "
4011,University professors and lecturers,*,25-1011,"Business Teachers, Postsecondary",Only university professors and lecturers in business 
4011,University professors and lecturers,*,25-1021,"Computer Science Teachers, Postsecondary",Only university professors and lecturers in computer sciences
4011,University professors and lecturers,*,25-1022,"Mathematical Science Teachers, Postsecondary",Only university professors and lecturers in mathematical science
4011,University professors and lecturers,*,25-1031,"Architecture Teachers, Postsecondary",Only university professors and lecturers in architecture
4011,University professors and lecturers,*,25-1032,"Engineering Teachers, Postsecondary",Only university professors and lecturers in engineering
4011,University professors and lecturers,*,25-1041,"Agricultural Sciences Teachers, Postsecondary",Only university professors and lecturers in agricultural science
4011,University professors and lecturers,*,25-1042,"Biological Science Teachers, Postsecondary",Only university professors and lecturers in biological science 
4011,University professors and lecturers,*,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",Only university professors and lecturers in forestry and conservation science 
4011,University professors and lecturers,*,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Only university professors and lecturers in atmospheric, earth, marine, and space science"
4011,University professors and lecturers,*,25-1052,"Chemistry Teachers, Postsecondary",Only university professors and lecturers in chemistry 
4011,University professors and lecturers,*,25-1053,"Environmental Science Teachers, Postsecondary",Only university professors and lecturers in environmental science
4011,University professors and lecturers,*,25-1054,"Physics Teachers, Postsecondary",Only university professors and lecturers in physics
4011,University professors and lecturers,*,25-1061,"Anthropology and Archeology Teachers, Postsecondary",Only university professors and lecturers in anthropology and archeology 
4011,University professors and lecturers,*,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Only university professors and lecturers in area, ethnic, and cultural studies"
4011,University professors and lecturers,*,25-1063,"Economics Teachers, Postsecondary",Only university professors and lecturers in economics
4011,University professors and lecturers,*,25-1064,"Geography Teachers, Postsecondary",Only university professors and lecturers in geography
4011,University professors and lecturers,*,25-1065,"Political Science Teachers, Postsecondary",Only university professors and lecturers in political science
4011,University professors and lecturers,*,25-1066,"Psychology Teachers, Postsecondary",Only university professors and lecturers in psychology
4011,University professors and lecturers,*,25-1067,"Sociology Teachers, Postsecondary",Only university professors and lecturers in sociology
4011,University professors and lecturers,*,25-1069,"Social Sciences Teachers, Postsecondary, All Other",Only university professors and lecturers in social science
4011,University professors and lecturers,*,25-1071,"Health Specialties Teachers, Postsecondary",Only university professors and lecturers in health specialities
4011,University professors and lecturers,*,25-1072,"Nursing Instructors and Teachers, Postsecondary",Only university professors and lecturers in nursing
4011,University professors and lecturers,*,25-1081,"Education Teachers, Postsecondary",Only university professors and lecturers in education
4011,University professors and lecturers,*,25-1082,"Library Science Teachers, Postsecondary",Only university professors and lecturers in library science
4011,University professors and lecturers,*,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Only university professors and lecturers in criminal justice and law enforcement
4011,University professors and lecturers,*,25-1112,"Law Teachers, Postsecondary",Only university professors and lecturers in law
4011,University professors and lecturers,*,25-1113,"Social Work Teachers, Postsecondary",Only university professors and lecturers in social work
4011,University professors and lecturers,*,25-1121,"Art, Drama, and Music Teachers, Postsecondary","Only university professors and lecturers in art, drama, and music"
4011,University professors and lecturers,*,25-1122,"Communications Teachers, Postsecondary",Only university professors and lecturers in communication
4011,University professors and lecturers,*,25-1123,"English Language and Literature Teachers, Postsecondary",Only university professors and lecturers in English language and literature
4011,University professors and lecturers,*,25-1124,"Foreign Language and Literature Teachers, Postsecondary",Only university professors and lecturers in foreign language and literature 
4011,University professors and lecturers,*,25-1125,"History Teachers, Postsecondary",Only university professors and lecturers in history
4011,University professors and lecturers,*,25-1126,"Philosophy and Religion Teachers, Postsecondary",Only university professors and lecturers in philosophy and religion 
4011,University professors and lecturers,*,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",Only university professors and lecturers in family and consumer science 
4011,University professors and lecturers,*,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",Only university professors and lecturers in recreation and fitness studies 
4012,Post-secondary teaching and research assistants,*,19-4061,Social Science Research Assistants,Only research assistants in social sciences 
4012,Post-secondary teaching and research assistants,*,25-3041,Tutors,Only post-secondary teaching and research assistant who are tutors
4012,Post-secondary teaching and research assistants,*,25-9044,"Teaching Assistants, postsecondary","Only post-secondary teaching assistants and research assistants, excluding assistants in social sciences and tutors"
4021,College and other vocational instructors,*,25-1011,"Business Teachers, Postsecondary",Only college and other vocational instructors in business 
4021,College and other vocational instructors,*,25-1021,"Computer Science Teachers, Postsecondary",Only college and other vocational instructors in computer science
4021,College and other vocational instructors,*,25-1022,"Mathematical Science Teachers, Postsecondary",Only college and other vocational instructors in mathematical science
4021,College and other vocational instructors,*,25-1031,"Architecture Teachers, Postsecondary",Only college and other vocational instructors in architecture
4021,College and other vocational instructors,*,25-1032,"Engineering Teachers, Postsecondary",Only college and other vocational instructors in engineering
4021,College and other vocational instructors,*,25-1041,"Agricultural Sciences Teachers, Postsecondary",Only college and other vocational instructors in agricultural studies
4021,College and other vocational instructors,*,25-1042,"Biological Science Teachers, Postsecondary",Only college and other vocational instructors in biology
4021,College and other vocational instructors,*,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",Only college and other vocational instructors in forestry and conservation science
4021,College and other vocational instructors,*,25-1052,"Chemistry Teachers, Postsecondary",Only college and other vocational instructors in chemical technology and chemistry
4021,College and other vocational instructors,*,25-1053,"Environmental Science Teachers, Postsecondary",Only college and other vocational instructors in environmental studies
4021,College and other vocational instructors,*,25-1054,"Physics Teachers, Postsecondary",Only college and other vocational instructors in physics
4021,College and other vocational instructors,*,25-1061,"Anthropology and Archeology Teachers, Postsecondary",Only college and other vocational instructors in anthropology and archeology
4021,College and other vocational instructors,*,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Only college and other vocational instructors in cultural studies 
4021,College and other vocational instructors,*,25-1063,"Economics Teachers, Postsecondary",Only college and other vocational instructors in economics
4021,College and other vocational instructors,*,25-1064,"Geography Teachers, Postsecondary",Only college and other vocational instructors in geography
4021,College and other vocational instructors,*,25-1065,"Political Science Teachers, Postsecondary",Only college and other vocational instructors in political science
4021,College and other vocational instructors,*,25-1066,"Psychology Teachers, Postsecondary",Only college and other vocational instructors in psychology
4021,College and other vocational instructors,*,25-1067,"Sociology Teachers, Postsecondary",Only college and other vocational instructors in sociology
4021,College and other vocational instructors,*,25-1069,"Social Sciences Teachers, Postsecondary, All Other",Only college and other vocational instructors in social sciences
4021,College and other vocational instructors,*,25-1071,"Health Specialties Teachers, Postsecondary",Only college and other vocational instructors in health studies
4021,College and other vocational instructors,*,25-1072,"Nursing Instructors and Teachers, Postsecondary",Only college and other vocational instructors in nursing
4021,College and other vocational instructors,*,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Only college and other vocational instructors in criminal justice and law enforcement 
4021,College and other vocational instructors,*,25-1112,"Law Teachers, Postsecondary",Only college and other vocational instructors in paralegal
4021,College and other vocational instructors,*,25-1113,"Social Work Teachers, Postsecondary",Only college and other vocational instructors in social service work
4021,College and other vocational instructors,*,25-1121,"Art, Drama, and Music Teachers, Postsecondary","Only college and other vocational instructors in fine art, theatre drama, and music "
4021,College and other vocational instructors,*,25-1122,"Communications Teachers, Postsecondary",Only college and other vocational instructors in communication
4021,College and other vocational instructors,*,25-1123,"English Language and Literature Teachers, Postsecondary",Only college and other vocational instructors in English language and literature
4021,College and other vocational instructors,*,25-1124,"Foreign Language and Literature Teachers, Postsecondary",Only college and other vocational instructors in foreign language and literature
4021,College and other vocational instructors,*,25-1125,"History Teachers, Postsecondary",Only college and other vocational instructors in history 
4021,College and other vocational instructors,*,25-1126,"Philosophy and Religion Teachers, Postsecondary",Only college and other vocational instructors in philosophy and Religion 
4021,College and other vocational instructors,*,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",Only college and other vocational instructors in family and consumer sciences 
4021,College and other vocational instructors,*,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Only college and other vocational instructors in recreation, fitness and health promotion studies "
4021,College and other vocational instructors,*,25-1194,"Career/Technical Education Teachers, Postsecondary",Only college and other vocational instructors in career/technical education
4021,College and other vocational instructors,*,25-1199,"Postsecondary Teachers, All Other",Excluding college and vocational instructors elsewhere classified 
4021,College and other vocational instructors,*,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Only instructors of English as a second language, except elementary, high school or university teachers"
4031,Secondary school teachers,*,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Excluding substitute teachers and teachers in career and technical education and special education
4031,Secondary school teachers,*,25-2032,"Career/Technical Education Teachers, Secondary School",Only teachers in career and technical education
4031,Secondary school teachers,*,25-2058,"Special Education Teachers, Secondary School",Only teachers in special education 
4031,Secondary school teachers,*,25-3031,"Substitute Teachers, Short-Term",Only substitute teachers in secondary school 
4032,Elementary school and Kindergarten teachers,*,25-2012,"Kindergarten Teachers, Except Special Education","Only teachers in kindergarten, except teachers in special education and substitute"
4032,Elementary school and Kindergarten teachers,*,25-2021,"Elementary School Teachers, Except Special Education","Only teachers in primary and lower elementary school, except special education and substitute"
4032,Elementary school and Kindergarten teachers,*,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Only teachers in upper elementary (middle) school, except career and technical education, special education, and substitutes"
4032,Elementary school and Kindergarten teachers,*,25-2023,"Career/Technical Education Teachers, Middle School","Only teachers in career and technical education, upper elementary (middle) school "
4032,Elementary school and Kindergarten teachers,*,25-2055,"Special Education Teachers, Kindergarten",Only special education and needs teachers in kindergarten 
4032,Elementary school and Kindergarten teachers,*,25-2056,"Special Education Teachers, Elementary School",Only special education and needs teachers in primary and lower elementary education
4032,Elementary school and Kindergarten teachers,*,25-2057,"Special Education Teachers, Middle School",Only special education and needs teachers in upper elementary (middle) school 
4032,Elementary school and kindergarten teachers,*,25-3031,"Substitute Teachers, Short-Term",Only substitute teachers in kindergarten and elementary school 
4033,Educational counsellors,,21-1012,"Educational, Guidance, and Career Counselors and Advisors",
4111,Judges,,23-1023,"Judges, Magistrate Judges, and Magistrates",
4112,Lawyers and Quebec notaries,,23-1011,Lawyers,
4151,Psychologists,*,19-3032,Industrial-Organizational Psychologists,Only industrial and organizational psychologists
4151,Psychologists,*,19-3033,Clinical and Counseling Psychologists,Only clinical and counselling psychologists
4151,Psychologists,*,19-3034,School Psychologists,Only school psychologists
4151,Psychologists,*,19-3039,"Psychologists, All Other",Only psychologists not accounted for in other relationships between this NOC code and SOC
4152,Social workers,*,21-1021,"Child, Family, and School Social Workers","Only social workers working with children, family and school"
4152,Social workers,*,21-1022,Healthcare Social Workers,Only social workers in health and healthcare
4152,Social workers,*,21-1023,Mental Health and Substance Abuse Social Workers,"Only social workers specializing in mental health, emotional and substance abuse "
4152,Social workers,*,21-1029,"Social Workers, All Other",Only social workers not accounted for in other relationships between this NOC code and SOC
4153,"Family, marriage and other related counsellors",*,21-1011,Substance Abuse and Behavioral Disorder Counselors,Only counsellors and therapists specializing in substance abuse and behavioral disorders 
4153,"Family, marriage and other related counsellors",*,21-1013,Marriage and Family Therapists,"Only counsellors, consultants and therapists working with individuals, families and couples "
4153,"Family, marriage and other related counsellors",*,21-1014,Mental Health Counselors,Only counsellors and therapists specializing in mental health promotion and prevention
4153,"Family, marriage and other related counsellors",*,21-1015,Rehabilitation Counselors,Only counsellors specializing in rehabilitation 
4153,"Family, marriage and other related counsellors",*,21-1019,"Counselors, All Other",Only counsellors not accounted for in other relationships between this NOC code and SOC
4153,"Family, marriage and other related counsellors",*,29-9092,Genetic Counselors,Only counsellors in genetics
4154,Professional occupations in religion,,21-2011,Clergy,
4155,Probation and parole officers and related occupations,,21-1092,Probation Officers and Correctional Treatment Specialists,
4156,Employment counsellors,,21-1019,"Counselors, All Other",
4161,"Natural and applied science policy researchers, consultants and program officers",*,13-1041,Compliance Officers ,"Only officers, searchers and agents specializing in patents "
4161,"Natural and applied science policy researchers, consultants and program officers",*,13-1199,"Business Operations Specialists, All Other",Only technology transfer officers and related occupations 
4161,"Natural and applied science policy researchers, consultants and program officers",*,19-2041,"Environmental Scientists and Specialists, Including Health","Only advisors, analysts, specialists, consultants, officers and program managers in environment and conservation, including industrial ecology "
4161,"Natural and applied science policy researchers, consultants and program officers",*,19-5011,Occupational Health and Safety Specialists,"Only policy researchers, consultants and program officers specializing in industrial hygiene, ergonomics, occupational hygiene and related work"
4162,Economists and economic policy researchers and analysts,,19-3011,Economists,
4163,Business development officers and marketing researchers and consultants,,13-1161,Market Research Analysts and Marketing Specialists,
4164,"Social policy researchers, consultants and program officers",*,19-3022,Survey Researchers,Only pollsters and other related social survey researchers 
4164,"Social policy researchers, consultants and program officers",*,19-3099,"Social Scientists and Related Workers, All Other",Only social scientists and related workers not accounted for in other relationships between this NOC code and SOC
4164,"Social policy researchers, consultants and program officers",*,25-9021,Farm and Home Management Educators,"Only analysts, counsellors, advisors, researchers, specialists and program officers in home and family management activities, including home economics "
4165,"Health policy researchers, consultants and program officers",*,13-1041,Compliance Officers,Only coroners 
4165,"Health policy researchers, consultants and program officers",*,21-1091,Health Education Specialists,"Only researchers, officers, analysts, consultants and specialists in health services research, policy development and program planning, including those who manager health education programs "
4165,"Health policy researchers, consultants and program officers",*,21-1094,Community Health Workers,"Only researchers, officers, analysts, consultants and specialists in community health services research"
4166,"Education policy researchers, consultants and program officers",,25-9031,Instructional Coordinators,
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",*,11-9179,"Personal Service Managers, All Other",Only policy analysts and researchers in personal services not accounted for in other relationships between this NOC code and SOC
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",*,19-3099,"Social Scientists and Related Workers, All Other","Only policy analysts and researchers in recreation, sports and fitness "
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",*,39-9032,Recreation Workers,"Only analysts, co-ordinators, counsellors, programmers and related workers in recreation and leisure, including arts and crafts "
4168,Program officers unique to government,*,19-3094,Political Scientists,"Only officers unique to the direct operations to government, including international relations "
4168,Program officers unique to government,*,19-3099,"Social Scientists and Related Workers, All Other",Only program officers unique to Government not accounted for in other relationships between this NOC code and SOC
4169,"Other professional occupations in social science, n.e.c.",*,19-3041,Sociologists,Only sociologists
4169,"Other professional occupations in social science, n.e.c.",*,19-3091,Anthropologists and Archeologists,Only anthropologists and archaeologists
4169,"Other professional occupations in social science, n.e.c.",*,19-3092,Geographers,Only geographers
4169,"Other professional occupations in social science, n.e.c.",*,19-3093,Historians,Only historians
4169,"Other professional occupations in social science, n.e.c.",*,19-3094,Political Scientists,Only political scientists
4169,"Other professional occupations in social science, n.e.c.",*,19-3099,"Social Scientists and Related Workers, All Other",Only other professionals in social sciences not accounted for in other relationships between this NOC code and SOC
4211,Paralegal and related occupations,*,23-2011,Paralegals and Legal Assistants,Only paralegals and related occupations not accounted for in other relationships between this NOC code and SOC
4211,Paralegal and related occupations,*,23-2093,"Title Examiners, Abstractors, and Searchers","Only clerks, examiners searchers and related workers specializing in land titles, and other insurance and legal documents "
