noc_plus_title,noc_2021,noc2021_title,herf_score,herf_cat
72405: Machine fitters,72405,Machine fitters,1,strong
72406: Elevator constructors and mechanics,72406,Elevator constructors and mechanics,1,strong
"72410: Automotive service technicians, truck and bus mechanics and mechanical repairers",72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",0.5,strong
"72411: Auto body collision, refinishing and glass technicians and damage repair estimators",72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",0.5,strong
72420: Oil and solid fuel heating mechanics,72420,Oil and solid fuel heating mechanics,1,strong
72421: Appliance servicers and repairers,72421,Appliance servicers and repairers,0.5555555555555556,strong
72422: Electrical mechanics,72422,Electrical mechanics,1,strong
"72423: Motorcycle, all-terrain vehicle and other related mechanics",72423,"Motorcycle, all-terrain vehicle and other related mechanics",0.12396694214876033,weak
72429: Other small engine and small equipment repairers,72429,Other small engine and small equipment repairers,1,strong
72500: Crane operators,72500,Crane operators,0.5,strong
72501: Water well drillers,72501,Water well drillers,1,strong
"72600: Air pilots, flight engineers and flying instructors",72600,"Air pilots, flight engineers and flying instructors",0.40444444444444444,strong
72601: Air traffic controllers and related occupations,72601,Air traffic controllers and related occupations,0.5,strong
"72602: Deck officers, water transport",72602,"Deck officers, water transport",1,strong
"72603: Engineer officers, water transport",72603,"Engineer officers, water transport",1,strong
72604: Railway traffic controllers and marine traffic regulators,72604,Railway traffic controllers and marine traffic regulators,1,strong
72999: Other technical trades and related occupations,72999,Other technical trades and related occupations,0.20000000000000004,strong
73100: Concrete finishers,73100,Concrete finishers,1,strong
73101: Tilesetters,73101,Tilesetters,0.5,strong
"73102: Plasterers, drywall installers and finishers and lathers",73102,"Plasterers, drywall installers and finishers and lathers",0.3333333333333333,strong
73110: Roofers and shinglers,73110,Roofers and shinglers,1,strong
73111: Glaziers,73111,Glaziers,1,strong
73112: Painters and decorators (except interior decorators),73112,Painters and decorators (except interior decorators),0.5555555555555556,strong
73113: Floor covering installers,73113,Floor covering installers,0.5,strong
73200: Residential and commercial installers and servicers,73200,Residential and commercial installers and servicers,0.16666666666666666,strong
73201: General building maintenance workers and building superintendents,73201,General building maintenance workers and building superintendents,0.5555555555555556,strong
73202: Pest controllers and fumigators,73202,Pest controllers and fumigators,1,strong
73209: Other repairers and servicers,73209,Other repairers and servicers,0.25,strong
73300: Transport truck drivers,73300,Transport truck drivers,1,strong
"73301: Bus drivers, subway operators and other transit operators",73301,"Bus drivers, subway operators and other transit operators",0.3333333333333333,strong
73310: Railway and yard locomotive engineers,73310,Railway and yard locomotive engineers,0.5,strong
73311: Railway conductors and brakemen/women,73311,Railway conductors and brakemen/women,0.5,strong
73400: Heavy equipment operators,73400,Heavy equipment operators,0.20000000000000004,strong
73401: Printing press operators,73401,Printing press operators,1,strong
"73402: Drillers and blasters - surface mining, quarrying and construction",73402,"Drillers and blasters - surface mining, quarrying and construction",0.5555555555555556,strong
74100: Mail and parcel sorters and related occupations,74100,Mail and parcel sorters and related occupations,0.3333333333333333,strong
74101: Letter carriers,74101,Letter carriers,1,strong
74102: Couriers and messengers,74102,Couriers and messengers,0.3333333333333333,strong
74200: Railway yard and track maintenance workers,74200,Railway yard and track maintenance workers,0.5555555555555556,strong
74201: Water transport deck and engine room crew,74201,Water transport deck and engine room crew,1,strong
74202: Air transport ramp attendants,74202,Air transport ramp attendants,0.3333333333333333,strong
74203: Automotive and heavy truck and equipment parts installers and servicers,74203,Automotive and heavy truck and equipment parts installers and servicers,0.375,strong
74204: Utility maintenance workers,74204,Utility maintenance workers,0.16666666666666666,strong
74205: Public works maintenance equipment operators and related workers,74205,Public works maintenance equipment operators and related workers,0.25,strong
75100: Longshore workers,75100,Longshore workers,1,strong
75101: Material handlers,75101,Material handlers,0.15226337448559668,weak
75110: Construction trades helpers and labourers,75110,Construction trades helpers and labourers,0.0775047258979206,weak
75119: Other trades helpers and labourers,75119,Other trades helpers and labourers,0.3333333333333333,strong
75200: Taxi and limousine drivers and chauffeurs,75200,Taxi and limousine drivers and chauffeurs,1,strong
75201: Delivery service drivers and door-to-door distributors,75201,Delivery service drivers and door-to-door distributors,0.3333333333333333,strong
75210: Boat and cable ferry operators and related occupations,75210,Boat and cable ferry operators and related occupations,0.5,strong
75211: Railway and motor transport labourers,75211,Railway and motor transport labourers,0.5,strong
75212: Public works and maintenance labourers,75212,Public works and maintenance labourers,0.3333333333333333,strong
80010: Managers in natural resources production and fishing,80010,Managers in natural resources production and fishing,0.625,strong
80020: Managers in agriculture,80020,Managers in agriculture,1,strong
80021: Managers in horticulture,80021,Managers in horticulture,1,strong
80022: Managers in aquaculture,80022,Managers in aquaculture,1,strong
"82010: Supervisors, logging and forestry",82010,"Supervisors, logging and forestry",1,strong
"82020: Supervisors, mining and quarrying",82020,"Supervisors, mining and quarrying",0.5,strong
"82021: Contractors and supervisors, oil and gas drilling and services",82021,"Contractors and supervisors, oil and gas drilling and services",0.5,strong
82030: Agricultural service contractors and farm supervisors,82030,Agricultural service contractors and farm supervisors,0.20710059171597636,strong
"82031: Contractors and supervisors, landscaping, grounds maintenance and horticulture services",82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1,strong
83100: Underground production and development miners,83100,Underground production and development miners,0.5,strong
"83101: Oil and gas well drillers, servicers, testers and related workers",83101,"Oil and gas well drillers, servicers, testers and related workers",0.5555555555555556,strong
83110: Logging machinery operators,83110,Logging machinery operators,1,strong
83120: Fishing masters and officers,83120,Fishing masters and officers,1,strong
83121: Fishermen/women,83121,Fishermen/women,1,strong
84100: Underground mine service and support workers,84100,Underground mine service and support workers,1,strong
84101: Oil and gas well drilling and related workers and services operators,84101,Oil and gas well drilling and related workers and services operators,0.5,strong
84110: Chain saw and skidder operators,84110,Chain saw and skidder operators,0.5555555555555556,strong
84111: Silviculture and forestry workers,84111,Silviculture and forestry workers,1,strong
84120: Specialized livestock workers and farm machinery operators,84120,Specialized livestock workers and farm machinery operators,0.18401664932362122,strong
84121: Fishing vessel deckhands,84121,Fishing vessel deckhands,1,strong
85100: Livestock labourers,85100,Livestock labourers,0.18401664932362122,strong
85101: Harvesting labourers,85101,Harvesting labourers,0.3771626297577855,strong
85102: Aquaculture and marine harvest labourers,85102,Aquaculture and marine harvest labourers,0.53125,strong
85103: Nursery and greenhouse labourers,85103,Nursery and greenhouse labourers,1,strong
85104: Trappers and hunters,85104,Trappers and hunters,1,strong
85110: Mine labourers,85110,Mine labourers,1,strong
"85111: Oil and gas drilling, servicing and related labourers",85111,"Oil and gas drilling, servicing and related labourers",1,strong
85121: Landscaping and grounds maintenance labourers,85121,Landscaping and grounds maintenance labourers,1,strong
90010: Manufacturing managers,90010,Manufacturing managers,0.125,weak
90011: Utilities managers,90011,Utilities managers,0.16666666666666669,strong
"92010: Supervisors, mineral and metal processing",92010,"Supervisors, mineral and metal processing",1,strong
"92011: Supervisors, petroleum, gas and chemical processing and utilities",92011,"Supervisors, petroleum, gas and chemical processing and utilities",1,strong
"92012: Supervisors, food and beverage processing",92012,"Supervisors, food and beverage processing",1,strong
"92013: Supervisors, plastic and rubber products manufacturing",92013,"Supervisors, plastic and rubber products manufacturing",1,strong
"92014: Supervisors, forest products processing",92014,"Supervisors, forest products processing",1,strong
"92015: Supervisors, textile, fabric, fur and leather products processing and manufacturing",92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",1,strong
"92020: Supervisors, motor vehicle assembling",92020,"Supervisors, motor vehicle assembling",1,strong
"92021: Supervisors, electronics and electrical products manufacturing",92021,"Supervisors, electronics and electrical products manufacturing",1,strong
"92022: Supervisors, furniture and fixtures manufacturing",92022,"Supervisors, furniture and fixtures manufacturing",1,strong
"92023: Supervisors, other mechanical and metal products manufacturing",92023,"Supervisors, other mechanical and metal products manufacturing",1,strong
"92024: Supervisors, other products manufacturing and assembly",92024,"Supervisors, other products manufacturing and assembly",1,strong
92100: Power engineers and power systems operators,92100,Power engineers and power systems operators,0.16666666666666666,strong
92101: Water and waste treatment plant operators,92101,Water and waste treatment plant operators,0.5555555555555556,strong
"93100: Central control and process operators, mineral and metal processing",93100,"Central control and process operators, mineral and metal processing",0.5200000000000001,strong
"93101: Central control and process operators, petroleum, gas and chemical processing",93101,"Central control and process operators, petroleum, gas and chemical processing",0.20000000000000004,strong
"93102: Pulping, papermaking and coating control operators",93102,"Pulping, papermaking and coating control operators",1,strong
93200: Aircraft assemblers and aircraft assembly inspectors,93200,Aircraft assemblers and aircraft assembly inspectors,1,strong
"94100: Machine operators, mineral and metal processing",94100,"Machine operators, mineral and metal processing",0.20710059171597636,strong
94101: Foundry workers,94101,Foundry workers,0.375,strong
94102: Glass forming and finishing machine operators and glass cutters,94102,Glass forming and finishing machine operators and glass cutters,0.14285714285714285,weak
"94103: Concrete, clay and stone forming operators",94103,"Concrete, clay and stone forming operators",0.3125,strong
"94104: Inspectors and testers, mineral and metal processing",94104,"Inspectors and testers, mineral and metal processing",1,strong
94105: Metalworking and forging machine operators,94105,Metalworking and forging machine operators,0.4049586776859505,strong
94106: Machining tool operators,94106,Machining tool operators,0.20000000000000004,strong
94107: Machine operators of other metal products,94107,Machine operators of other metal products,1,strong
94110: Chemical plant machine operators,94110,Chemical plant machine operators,0.34375,strong
94111: Plastics processing machine operators,94111,Plastics processing machine operators,0.27999999999999997,strong
94112: Rubber processing machine operators and related workers,94112,Rubber processing machine operators and related workers,0.13541666666666666,weak
94120: Sawmill machine operators,94120,Sawmill machine operators,1,strong
"94121: Pulp mill, papermaking and finishing machine operators",94121,"Pulp mill, papermaking and finishing machine operators",0.34375,strong
94122: Paper converting machine operators,94122,Paper converting machine operators,1,strong
94123: Lumber graders and other wood processing inspectors and graders,94123,Lumber graders and other wood processing inspectors and graders,1,strong
94124: Woodworking machine operators,94124,Woodworking machine operators,0.34375,strong
94129: Other wood processing machine operators,94129,Other wood processing machine operators,0.36094674556213024,strong
"94130: Textile fibre and yarn, hide and pelt processing machine operators and workers",94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",0.5,strong
"94131: Weavers, knitters and other fabric making occupations",94131,"Weavers, knitters and other fabric making occupations",1,strong
94132: Industrial sewing machine operators,94132,Industrial sewing machine operators,0.5,strong
"94133: Inspectors and graders, textile, fabric, fur and leather products manufacturing",94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",1,strong
"94140: Process control and machine operators, food and beverage processing",94140,"Process control and machine operators, food and beverage processing",0.10544217687074833,weak
"94141: Industrial butchers and meat cutters, poultry preparers and related workers",94141,"Industrial butchers and meat cutters, poultry preparers and related workers",0.625,strong
94142: Fish and seafood plant workers,94142,Fish and seafood plant workers,0.5555555555555557,strong
"94143: Testers and graders, food and beverage processing",94143,"Testers and graders, food and beverage processing",1,strong
94150: Plateless printing equipment operators,94150,Plateless printing equipment operators,1,strong
"94151: Camera, platemaking and other prepress occupations",94151,"Camera, platemaking and other prepress occupations",0.34375,strong
94152: Binding and finishing machine operators,94152,Binding and finishing machine operators,1,strong
94153: Photographic and film processors,94153,Photographic and film processors,1,strong
"94200: Motor vehicle assemblers, inspectors and testers",94200,"Motor vehicle assemblers, inspectors and testers",1,strong
"94201: Electronics assemblers, fabricators, inspectors and testers",94201,"Electronics assemblers, fabricators, inspectors and testers",0.6800000000000002,strong
"94202: Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0.40495867768595034,strong
"94203: Assemblers, fabricators and inspectors, industrial electrical motors and transformers",94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0.40495867768595034,strong
94204: Mechanical assemblers and inspectors,94204,Mechanical assemblers and inspectors,0.5555555555555556,strong
"94205: Machine operators and inspectors, electrical apparatus manufacturing",94205,"Machine operators and inspectors, electrical apparatus manufacturing",1,strong
"94210: Furniture and fixture assemblers, finishers, refinishers and inspectors",94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",0.5555555555555557,strong
94211: Assemblers and inspectors of other wood products,94211,Assemblers and inspectors of other wood products,1,strong
"94212: Plastic products assemblers, finishers and inspectors",94212,"Plastic products assemblers, finishers and inspectors",0.6033057851239669,strong
"94213: Industrial painters, coaters and metal finishing process operators",94213,"Industrial painters, coaters and metal finishing process operators",0.5,strong
"94219: Other products assemblers, finishers and inspectors",94219,"Other products assemblers, finishers and inspectors",0.5,strong
95100: Labourers in mineral and metal processing,95100,Labourers in mineral and metal processing,0.5017301038062284,strong
95101: Labourers in metal fabrication,95101,Labourers in metal fabrication,0.5017301038062284,strong
95102: Labourers in chemical products processing and utilities,95102,Labourers in chemical products processing and utilities,0.2839506172839506,strong
"95103: Labourers in wood, pulp and paper processing",95103,"Labourers in wood, pulp and paper processing",0.5017301038062284,strong
95104: Labourers in rubber and plastic products manufacturing,95104,Labourers in rubber and plastic products manufacturing,0.5017301038062284,strong
95105: Labourers in textile processing and cutting,95105,Labourers in textile processing and cutting,0.375,strong
95106: Labourers in food and beverage processing,95106,Labourers in food and beverage processing,0.5017301038062284,strong
95107: Labourers in fish and seafood processing,95107,Labourers in fish and seafood processing,0.625,strong
"95109: Other labourers in processing, manufacturing and utilities",95109,"Other labourers in processing, manufacturing and utilities",0.6033057851239669,strong
