noc_plus_title,noc_2021,base_herf,down_herf
"94103: Concrete, clay and stone forming operators",94103,0.23407202216066486,0.3689121529358216
"94104: Inspectors and testers, mineral and metal processing",94104,1,1
94105: Metalworking and forging machine operators,94105,0.32799999999999996,0.5322784057108865
94106: Machining tool operators,94106,0.1606805293005671,0.17951557093425605
94107: Machine operators of other metal products,94107,1,1
94110: Chemical plant machine operators,94110,0.34375,0.5661157024793388
94111: Plastics processing machine operators,94111,0.20233747260774282,0.32531376663321554
94112: Rubber processing machine operators and related workers,94112,0.12007281383462859,0.2412449461250556
94120: Sawmill machine operators,94120,1,1
"94121: Pulp mill, papermaking and finishing machine operators",94121,0.2686980609418283,0.31129769369752364
94122: Paper converting machine operators,94122,1,1
94123: Lumber graders and other wood processing inspectors and graders,94123,0.8892733564013842,0.9922481793819737
94124: Woodworking machine operators,94124,0.2686980609418283,0.31129769369752364
94129: Other wood processing machine operators,94129,0.36094674556213024,0.43886052136522435
"94130: Textile fibre and yarn, hide and pelt processing machine operators and workers",94130,0.4055784884842406,0.48639909157870787
"94131: Weavers, knitters and other fabric making occupations",94131,1,1
94132: Industrial sewing machine operators,94132,0.5,0.5
"94133: Inspectors and graders, textile, fabric, fur and leather products manufacturing",94133,1,1
"94140: Process control and machine operators, food and beverage processing",94140,0.09948474038842647,0.15370655492240862
"94141: Industrial butchers and meat cutters, poultry preparers and related workers",94141,0.625,0.8200000000000001
94142: Fish and seafood plant workers,94142,0.45999999999999996,0.6512287334593574
"94143: Testers and graders, food and beverage processing",94143,1,1
94150: Plateless printing equipment operators,94150,1,1
"94151: Camera, platemaking and other prepress occupations",94151,0.34375,0.36776859504132237
94152: Binding and finishing machine operators,94152,1,1
94153: Photographic and film processors,94153,1,1
"94200: Motor vehicle assemblers, inspectors and testers",94200,0.6828497558172938,0.9402604790085324
"94201: Electronics assemblers, fabricators, inspectors and testers",94201,0.619047619047619,0.8827838827838829
"94202: Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",94202,0.35898596650067915,0.5672092982576102
"94203: Assemblers, fabricators and inspectors, industrial electrical motors and transformers",94203,0.31001979451409173,0.529376832270536
94204: Mechanical assemblers and inspectors,94204,0.4513031550068587,0.6440535471771325
"94205: Machine operators and inspectors, electrical apparatus manufacturing",94205,0.6800000000000002,0.8892733564013842
"94210: Furniture and fixture assemblers, finishers, refinishers and inspectors",94210,0.5136000000000001,0.6757795440649839
94211: Assemblers and inspectors of other wood products,94211,1,1
"94212: Plastic products assemblers, finishers and inspectors",94212,0.6033057851239669,0.7838243572902985
"94213: Industrial painters, coaters and metal finishing process operators",94213,0.5,0.5
"94219: Other products assemblers, finishers and inspectors",94219,0.3890909090909091,0.4792283998963423
95100: Labourers in mineral and metal processing,95100,0.5017301038062284,0.5068727705112961
95101: Labourers in metal fabrication,95101,0.5017301038062284,0.5068727705112961
95102: Labourers in chemical products processing and utilities,95102,0.24327736396919578,0.4869945539433754
"95103: Labourers in wood, pulp and paper processing",95103,0.5017301038062284,0.5068727705112961
95104: Labourers in rubber and plastic products manufacturing,95104,0.5017301038062284,0.5068727705112961
95105: Labourers in textile processing and cutting,95105,0.26926626487653377,0.4343993838805711
95106: Labourers in food and beverage processing,95106,0.5017301038062284,0.5068727705112961
95107: Labourers in fish and seafood processing,95107,0.625,0.8200000000000001
"95109: Other labourers in processing, manufacturing and utilities",95109,0.4289113622843545,0.6587264182702018
